Employee Name,Employee ID,Employee Email,Department,Expense Type,Amount,Date of Expense,Description,Receipt URL,Receipt Image,Status,Comments,Item Type,Path
Natalia,1234,natalia01@gmail.com,HR,Office," ?8,400.00 ",22-03-2025,Lunch with recruitment partner,https://adityagroup-my.sharepoint.com/:p:/g/personal/23p31a4430_acet_ac_in/EYLtQCkNYW5Ng7Mxlj3QGEIB9yOqfV33xgqE_6xyYfmaRg?e=vy9CdH ,,Pending,Awaiting Manager Review,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Robin,999999,nicorobin@gmail.com,Sales,Others," ?3,000.00 ",18-02-2025,uniform material costs, https://adityagroup-my.sharepoint.com/:w:/g/personal/23p31a4430_acet_ac_in/EfYt3LXgEU9DlE7U1X7rIS4BDmTHoNsvL2APaPyIGxOVQg?e=NzVDOP,,Pending,Sent to Finance for approval,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Zoro,1090,roronoazoro@gmail.com,Finance,Travel, ?500.00 ,16-06-2025,fuel costs for site audit,https://adityagroup-my.sharepoint.com/:w:/g/personal/23p31a4430_acet_ac_in/ERUqldZ29ydIpQh--Ckh2rgB0isKz_o9Onr8xdM74lAAOA?e=PQeAx7,,Approved,-,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Aoran,2749,anderson13@gmail.com,Tech,Office, ?799.00 ,08-01-2025,Bought mouse for new intern,https://adityagroup-my.sharepoint.com/:w:/g/personal/23p31a4430_acet_ac_in/Eb2_6KIsCwVJu_QpVe0Lg7sBDFB6P6e2mmFa4J7ndgQv7w?e=2jz0g1,,Rejected,Item not reimbursable,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Jay,1234,jay123@gmail.com,Sales,Travel," ?10,000.00 ",09-03-2025,Traveled to attend investors meet.,https://makereceipt.com/images/restaurant-receipt-itemized2-small.jpg,,Approved,Approved by the Manager.,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Alice,1296,Alice0212@gmail.com,Sales,Meals, ?250.00 ,17-06-2025,For meals costs,https://adityagroup-my.sharepoint.com/:p:/g/personal/23p31a4430_acet_ac_in/EYLtQCkNYW5Ng7Mxlj3QGEIB9yOqfV33xgqE_6xyYfmaRg?e=vy9CdH ,,Rejected,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Bob,1354,medapatisanjana0212@gmail.com,Finance,Travel," ?5,000.00 ",01-05-2025,Train tickets and bus charges,https://adityagroup-my.sharepoint.com/:w:/g/personal/23p31a4430_acet_ac_in/ERUqldZ29ydIpQh--Ckh2rgB0isKz_o9Onr8xdM74lAAOA?e=PQeAx7,,Rejected,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
sanjana,1202,23A91A61G9@aec.edu.in,Tech,Office," ?1,200.00 ",07-04-2025,For stationary work,https://adityagroup-my.sharepoint.com/:w:/g/personal/23p31a4430_acet_ac_in/Eb2_6KIsCwVJu_QpVe0Lg7sBDFB6P6e2mmFa4J7ndgQv7w?e=2jz0g1,,Approved,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Charlie,3243,charlie987@gmail.com,HR,Others," ?3,200.00 ",28-02-2025,For vehicle charges,https://adityagroup-my.sharepoint.com/:w:/g/personal/23p31a4430_acet_ac_in/EfYt3LXgEU9DlE7U1X7rIS4BDmTHoNsvL2APaPyIGxOVQg?e=NzVDOP,,Rejected,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
sanju,1234,sanju@gmail.com,Finance,Meals, ?300.00 ,17-01-2025,For food with the recruiters,https://adityagroup-my.sharepoint.com/:p:/g/personal/23p31a4430_acet_ac_in/EYLtQCkNYW5Ng7Mxlj3QGEIB9yOqfV33xgqE_6xyYfmaRg?e=vy9CdH ,,Approved,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
