Title,Subject,Availability,Email,Item Type,Path
Anjali Verma,Physics,Yes,anjali.verma@school.edu,Item,sites/DR_7.0_IShip/Lists/Teachers_data
Rajesh Kumar,Chemistry,Yes,rajesh.kumar@school.edu,Item,sites/DR_7.0_IShip/Lists/Teachers_data
Sunita Sharma,Math,No,sunita.sharma@school.edu,Item,sites/DR_7.0_IShip/Lists/Teachers_data
Karan Mehta,Math,Yes,karan.mehta@school.edu,Item,sites/DR_7.0_IShip/Lists/Teachers_data
Preeti Yadav,Biology,Yes,preeti.yadav@school.edu,Item,sites/DR_7.0_IShip/Lists/Teachers_data
Deepak Rawat,English,No,deepak.rawat@school.edu,Item,sites/DR_7.0_IShip/Lists/Teachers_data
Neha Singh,English,Yes,neha.singh@school.edu,Item,sites/DR_7.0_IShip/Lists/Teachers_data
Mohan Joshi,History,Yes,mohan.joshi@school.edu,Item,sites/DR_7.0_IShip/Lists/Teachers_data
Pooja Rathi,Computer,Yes,pooja.rathi@school.edu,Item,sites/DR_7.0_IShip/Lists/Teachers_data
Ramesh Patel,Hindi,Yes,ramesh.patel@school.edu,Item,sites/DR_7.0_IShip/Lists/Teachers_data
Anita Mishra,Geography,No,anita.mishra@school.edu,Item,sites/DR_7.0_IShip/Lists/Teachers_data
Dinesh Bhatia,Civics,Yes,dinesh.bhatia@school.edu,Item,sites/DR_7.0_IShip/Lists/Teachers_data
Komal Agarwal,Economics,Yes,komal.agarwal@school.edu,Item,sites/DR_7.0_IShip/Lists/Teachers_data
Alok Nair,Science,Yes,alok.nair@school.edu,Item,sites/DR_7.0_IShip/Lists/Teachers_data
Ritu Kapoor,Environmental Sci,Yes,ritu.kapoor@school.edu,Item,sites/DR_7.0_IShip/Lists/Teachers_data
Sneha Tomar,Sanskrit,Yes,sneha.tomar@school.edu,Item,sites/DR_7.0_IShip/Lists/Teachers_data
Arvind Chauhan,Moral Education,No,arvind.chauhan@school.edu,Item,sites/DR_7.0_IShip/Lists/Teachers_data
Sheetal Rao,Art & Craft,Yes,sheetal.rao@school.edu,Item,sites/DR_7.0_IShip/Lists/Teachers_data
Vipin Bhatt,Physical Ed.,Yes,vipin.bhatt@school.edu,Item,sites/DR_7.0_IShip/Lists/Teachers_data
Kavita Das,Music,Yes,kavita.das@school.edu,Item,sites/DR_7.0_IShip/Lists/Teachers_data
